page,table_index,manufacturer,make,model ,vehicle_type,percent_content
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,60%
1,1,Kia Motors,Kia,K5,PC,60%
1,1,Kia Motors,Kia,Sorento,MPV,60%
1,1,Kia Motors,Kia,Telluride,MPV,60%
1,1,Tesla Inc.,Tesla,Model X,MPV,60%
1,1,Toyota,Toyota,Corolla Cross,MPV,60%
1,1,Toyota,Toyota,Grand Highlander,MPV,60%
1,1,Toyota,Toyota,Sienna HV,MPV,60%
1,1,Fiat Chrysler,Jeep,Grand Cherokee,MPV,59%
1,1,Fiat Chrysler,Jeep,Grand Cherokee L,MPV,59%
1,1,Fiat Chrysler,Jeep,Grand Wagoneer,MPV,59%
1,1,Fiat Chrysler,Jeep,Wagoneer,MPV,59%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD Type S,MPV,55%
1,1,"Honda Motor Co., Ltd.",Acura,TLX Type-S,PC,55%
1,1,Hyundai Motor Company,Hyundai,Santa Cruz,MPV,55%
1,1,Kia Motors,Kia,Sportage,MPV,55%
1,1,"Nissan North America, Inc",Nissan,Murano,MPV,55%
1,1,Toyota,Lexus,RX 350,MPV,55%
1,1,Toyota,Toyota,Corolla,PC,55%
1,1,Toyota,Toyota,Highlander Hybrid,MPV,55%
1,1,Toyota,Toyota,Tundra,Truck,55%
1,1,GM LLC,Chevy,Express,MPV,54%
1,1,GM LLC,GMC,Savanna,MPV,54%
1,1,Fiat Chrysler,Dodge,Charger BEV,PC,51%
1,1,GM LLC,Chevy,Colorado,Truck,51%
1,1,GM LLC,GMC,Canyon,Truck,51%
1,1,"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,PC,50%
1,1,Hyundai Motor Company,Hyundai,Santa Fe,MPV,50%
1,1,Mazda Motor Corporation,Mazda,CX-50,MPV,50%
1,1,"Nissan North America, Inc",Nissan,Altima 4CYL,PC,50%
1,1,"Nissan North America, Inc",Nissan,Altima 4CYL Turbo,PC,50%
1,1,"Nissan North America, Inc",Nissan,Pathfinder,MPV,50%
1,1,Subaru,Subaru,Ascent,MPV,50%
1,1,Subaru,Subaru,Legacy,PC,50%
1,1,Subaru,Subaru,Outback,MPV,50%
1,1,Toyota,Lexus,ES 250/350,PC,50%
1,1,Toyota,Lexus,TX 500h,MPV,50%
1,1,Toyota,Toyota,Camry Hybrid,PC,50%
1,1,Toyota,Toyota,Grand Highlander Hybrid,MPV,50%
1,1,Toyota,Toyota,Sequoia Hybrid,MPV,50%
1,1,Toyota,Toyota,Tundra Hybrid,Truck,50%
1,1,Volkswagen,Volkswagen,Atlas 2.0 (FWD),MPV,50%
1,1,Volkswagen,Volkswagen,Atlas Cross Sport 2.0 (AWD),MPV,50%
1,1,Volkswagen,Volkswagen,Atlas 2.0 (AWD),MPV,49%
1,1,Volkswagen,Volkswagen,Atlas Cross Sport 2.0 (FWD),MPV,48%
1,1,Ford Motor Company,Lincoln,Corsair,PC,47%
1,1,Ford Motor Company,Lincoln,Corsair PHEV,PC,47%
1,1,GM LLC,Chevy,Camaro,PC,45%
1,1,"Nissan North America, Inc",Infiniti,QX 60,MPV,45%
1,1,"Nissan North America, Inc",Nissan,Titan,Truck,45%
1,1,Subaru,Subaru,Crosstrek,MPV,45%
1,1,Toyota,Lexus,ES 300h,PC,45%
1,1,Toyota,Toyota,Corolla Cross Hybrid,MPV,45%
1,1,Toyota,Toyota,Rav4 Hybrid,MPV,45%
1,1,GM LLC,Chevy,Corvette,PC,40%
1,1,Hyundai Motor Company,Hyundai,Santa Fe HEV,MPV,40%
1,1,"Nissan North America, Inc",Nissan,Frontier,Truck,40%
1,1,Tesla Inc.,Tesla,Model 3 RWD,PC,40%
1,1,Toyota,Lexus,NX 250/350,MPV,40%
1,1,Toyota,Lexus,NX 350h,MPV,40%
1,1,Toyota,Lexus,RX 350h/500h,MPV,40%
1,1,GM LLC,Cadillac,XT4,MPV,39%
1,1,GM LLC,Chevy,Malibu,PC,39%
1,1,GM LLC,Cadillac,CT4,PC,38%
1,1,GM LLC,Cadillac,CT5,PC,38%
1,1,GM LLC,Honda,Prologue,MPV,38%
